LocationAbbrev,Location,LithotypeAbbrev,GenericLithotype,Lithotype,Sample,Ophiolite,CH4,Al2O3,Au,Ba,CaO,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe2O3,Ga,Gd,Ge,Hf,Ho,Ir,K2O,La,LOI,Lu,MgO,MnO,Na2O,Nb,Nd,Ni,Os,P2O5,Pd,Pr,Pt,Rb,Rh,Ru,S,Sb,Sc,SiO2,Sm,Sr,Ta,Tb,Th,TiO2,Tm,U,V,W,Y,Yb,Zn,Zr,Total
AET,Aetorraches,Srp Per,Srp Per,Serpentinised peridotite,AET5,Vourinos,6666,0.75,0.5,3,0.37,0.51,116,3270,0.05,4,0.12,0.1,0.04,8.23,1,0.09,0.7,0.05,0.03,4.6,0.01,0.29,11.41,0.01,41.56,0.11,0.16,0.4,0.25,2180,7,0.01,1,0.06,2.5,0.5,0.8,9,0.01,0.7,4,34.81,0.08,4,0.13,0.02,0.03,0.03,0.02,0.02,41,1.6,0.7,0.1,52,4,97.45
AS,Agios Stefanos,Srp Per,Srp Per,Serpentinised peridotite,AS5,Othrys,383,2.73,0.9,4.5,1.62,0.48,73.42,4400,0.05,14,0.11,0.09,0.03,8,1,0.09,0.95,0.05,0.03,2.8,0.01,0.29,12.21,0.01,35.34,0.11,0.01,0.45,0.25,2500,1,0.01,5,0.06,6,0.5,1.2,5,0.01,0.7,9.5,39.84,0.06,5,0.14,0.02,0.05,0.06,0.01,0.03,43,1.6,0.7,0.1,51,4,100.7
ERB,Eretreia,Srp Per,Srp Per,Serpentinised peridotite,ERB1,Othrys,613,0.7,19.7,4.5,0.08,0.48,73.42,3800,0.05,30,0.11,0.09,0.03,8.19,1,0.09,0.95,0.05,0.03,3.9,0.01,0.29,13.23,0.01,37.67,0.07,0.01,0.45,0.25,1860,1,0.01,6,0.06,7,0.5,0.9,37,0.02,0.7,9.5,39.27,0.06,5,0.14,0.02,0.05,0.01,0.01,0.03,43,1.6,0.7,0.1,48,4,99.92
LK,,Srp Per,Srp Per,Serpentinised peridotite,LK2,Othrys,544,1.74,0.7,4,1.88,0.42,112,3270,0.05,25,0.08,0.1,0.02,8.75,2,0.06,1,0.05,0.02,3.35,0.02,0.29,3.76,0.02,39.72,0.12,0.09,0.5,0.12,2220,1,0.02,4.5,0.04,4.25,0.5,0.85,7,0.02,0.7,12,42.24,0.04,7,0.13,0.01,0.03,0.03,0.02,0.01,63,1.9,0.7,0.12,52,1,98.37
SI,Sithonia,Srp Per,Srp Per,Serpentinised peridotite,SI10,Chalkidiki,406,0.76,0.7,3,1,0.21,112,3330,0.05,14,0.05,0.05,0.01,8.66,0.5,0.03,1,0.05,0.01,3.35,0.01,0.17,4.98,0.01,42.74,0.12,0.04,0.1,0.08,2230,1,0.01,4.5,0.03,4.25,0.5,0.85,7,0.01,0.7,10,41.43,0.02,2,0.13,0.01,0.03,0.01,0.01,0.02,44,3,0.25,0.07,51,1,99.77
SI,Sithonia,Srp Per,Srp Per,Serpentinised peridotite,SI12,Chalkidiki,544,14.2,0.7,17,8.36,8.44,34,300,0.05,18,2.63,1.67,0.63,10.03,18,2.15,1.5,1.5,0.56,3.35,0.02,3.78,3.46,0.27,4.28,0.13,2.41,0.9,4.97,76,1,0.07,4.5,1.11,4.25,0.5,0.85,7,0.0005,0.9,30,55.72,1.59,286,0.19,0.41,0.86,0.85,0.25,0.4,410,1.8,15.4,1.72,68,46,99.53
SI,Sithonia,Srp Per,Srp Per,Serpentinised peridotite,SI9,Chalkidiki,544,0.57,0.7,6,0.41,0.46,124,4260,0.05,3,0.09,0.06,0.02,8.42,0.5,0.08,0.7,0.05,0.02,3.35,0.01,0.27,5.97,0.01,43.96,0.11,0.12,0.1,0.24,2490,1,0.01,4.5,0.06,4.25,0.5,0.85,7,0.01,0.7,4,38.45,0.03,4,0.18,0.02,0.07,0.03,0.01,0.03,18,1.6,0.5,0.09,51,4,98.06
TOR,Toroneos (submarine),Srp Per,Srp Per,Serpentinised peridotite,TOR7,Chalkidiki,544,14.98,0.7,34,8.24,78.3,22,670,0.1,42,4.85,2.69,1.55,10.3,20,5.4,1.7,4.5,0.94,3.35,0.05,34.7,4.52,0.38,3.69,0.1,0.87,16.6,31.1,56,1,0.14,4.5,8.36,4.25,0.5,0.85,7,0.01,0.2,16,56.7,6.44,249,1.19,0.84,12.4,0.76,0.42,2.1,144,0.5,27.4,2.56,33,188,100.3
XL,Xerolivado,Srp Per,Srp Per,Serpentinised peridotite,XL1,Vourinos,544,0.85,0.7,5,0.53,1.2,108,2890,0.05,10,0.15,0.08,0.04,8.23,1,0.15,0.9,0.05,0.03,3.35,0.01,0.58,14.52,0.01,36.69,0.12,0.12,0.7,0.55,2400,1,0.03,4.5,0.13,4.25,0.5,0.85,7,0.01,0.7,9,39.1,0.13,6,0.15,0.03,0.08,0.04,0.01,0.03,42,1.2,0.8,0.08,52,4,100.2
XL,Xerolivado,Srp Per,Srp Per,Serpentinised peridotite,XL3,Vourinos,544,0.53,0.5,1,0.53,0.34,109,3000,0.05,8,0.05,0.03,0.03,8.09,0.5,0.04,0.8,0.05,0.01,1.8,0.01,0.19,9.91,0.01,42.25,0.11,0.04,0.3,0.1,2340,1,0.02,4,0.04,2.5,0.5,0.7,5,0.01,0.6,8,38.18,0.01,2,0.12,0.01,0.03,0.01,0.00025,0.01,34,1.4,0.25,0.03,50,2,99.68
VR,Vrynaina,Srp,Srp Per,Serpentinite,VR11,Othrys,544,1.3,0.7,9,0.38,2.91,116,3730,0.05,23,0.1,0.09,0.01,8.06,1,0.09,1.2,0.05,0.03,3.35,0.01,2.56,13.23,0.02,36.35,0.13,0.03,0.1,0.12,2440,1,0.01,4.5,0.04,4.25,0.5,0.85,7,0.01,0.7,10,38.78,0.04,4,0.11,0.02,0.03,0.03,0.02,0.02,48,1.7,0.7,0.12,75,3,98.27
