LocationAbbrev,Location,LithotypeAbbrev,GenericLithotype,Lithotype,Sample,Ophiolite,CH4,Al2O3,Au,Ba,CaO,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe2O3,Ga,Gd,Ge,Hf,Ho,Ir,K2O,La,LOI,Lu,MgO,MnO,Na2O,Nb,Nd,Ni,Os,P2O5,Pd,Pr,Pt,Rb,Rh,Ru,S,Sb,Sc,SiO2,Sm,Sr,Ta,Tb,Th,TiO2,Tm,U,V,W,Y,Yb,Zn,Zr,Total
ED,Edipsos,Fl Bst,Bst,Flood Basalt,ED6,Othrys,163.5,11.48,1.1,173,13.66,16.3,38,3490,4.2,57,3.92,2.25,1.09,9.69,13,3.73,1.7,1.9,0.78,0.3,2.5,7.32,13.45,0.32,4.27,0.18,2.16,1.9,10.9,108,1,0.09,2,2.37,2.5,102,0.3,5,0.01,1.5,41,39.73,3.16,84,0.26,0.64,1.47,1.01,0.32,1.13,231,2.1,21.8,2.1,54,63,98.21
LOG,Loggitsi,Fl Bst,Bst,Flood Basalt,LOG6,Othrys,34,12.11,1.1,56,15.75,23.2,43,1110,0.3,38,3.01,1.87,0.85,7.71,12,2.61,1,1.5,0.66,0.3,0.62,12.5,12.44,0.29,6.25,0.11,3.23,13.7,11.3,203,1,0.23,2,2.84,2.5,9,0.3,5,0.01,0.9,31,40.87,2.45,141,1.02,0.47,1.52,0.75,0.27,0.3,208,1.8,17.9,1.82,70,50,100.1
LOG,Loggitsi,Fl Bst,Bst,Flood Basalt,LOG9,Othrys,163.5,14.42,1.1,468,13.43,71.6,37,320,0.2,55,4.23,2.2,1.67,9.45,23,4.68,2,3.8,0.81,0.3,2.99,39.9,6.1,0.28,6.03,0.13,1.49,43.1,26.7,54,1,0.38,2,7.4,2.5,45,0.3,5,0.04,0.7,31,43.75,5.01,229,2.76,0.74,5.7,1.69,0.3,1.29,266,2.1,21.8,1.91,64,152,99.86
MK,Mikrothives,Fl Bst,Bst,Flood Basalt,MK1,Othrys,223,16.45,1.1,1336,6.9,152,29,4.59,3.7,35,4.64,2.39,2.08,6.48,17,6.41,1.3,6.8,0.86,0.3,2.98,82.8,1,0.34,6.8,0.12,3.42,19.6,55,158,1,0.49,2,15.9,2.5,81,0.3,5,0.02,0.7,19,54.22,9.2,745,1.25,0.86,26.5,0.81,0.34,5.44,124,4.6,24.8,2.26,61,268,99.67
PK,Palaiokerasia,Fl Bst,Bst,Flood Basalt,P3,Othrys,128,9.95,1.2,57,13.54,11.2,25,950,0.5,23,2.2,1.18,0.69,9.4,5,2.33,1.1,0.7,0.43,0.3,0.95,5.14,10.7,0.18,3.21,0.1,4.31,0.6,8.26,117,1,0.21,2,1.62,5,18,0.4,5,0.0005,0.8,37,47.97,2.21,76,0.15,0.39,0.49,0.31,0.18,0.31,140,2.4,11.8,1.14,47,22,100.7
PK,Palaiokerasia,Fl Bst,Bst,Flood Basalt,P4,Othrys,163.5,2.42,1.1,34,40.79,4.82,7,350,0.1,53,0.99,0.55,0.29,4.19,2,1.01,0.25,0.2,0.2,0.3,0.22,2.91,32.25,0.08,1.2,0.16,0.9,0.1,3.65,33,1,0.06,2,0.78,2.5,5,0.3,5,0.01,0.7,7,18.27,0.97,73,0.12,0.17,0.15,0.08,0.08,0.14,66,1.8,5.8,0.5,19,7,100.5
PK,Palaiokerasia,Fl Bst,Bst,Flood Basalt,PK2,Othrys,299,12.15,1.1,28,15.57,10.1,28,690,0.05,89,2.38,1.41,0.71,7.5,11,2.35,1.3,1.2,0.49,0.3,0.05,4.15,12.22,0.21,4.7,0.09,5.08,1.2,6.96,82,1,0.14,2,1.47,2.5,0.5,0.3,5,0.01,0.7,32,42.38,2,166,0.18,0.4,0.62,0.6,0.22,0.2,213,2,12.6,1.45,48,43,100.5
PN,Palaioneraida,Fl Bst,Bst,Flood Basalt,PN4,Othrys,199,10.74,1.1,36,17.73,17.3,25,980,0.2,23,3.07,1.79,0.99,6.16,6,3.34,1,1,0.63,0.1,0.38,8.4,13.08,0.26,2.94,0.09,4.65,1,11.6,107,1,0.35,2,2.6,2.5,6,0.2,5,0.01,0.9,24,42.04,3.07,141,0.2,0.53,0.72,0.45,0.26,0.24,181,2.2,18.2,1.71,46,32,98.6
VR,Vrynaina,Gbr,Gbr,Gabbro,VR2,Othrys,163.5,15.92,2,81,13.57,0.87,60,1920,0.3,164,0.92,0.58,0.25,15.57,14,0.59,1.1,0.2,0.2,0.2,1.27,0.41,5.22,0.1,6.31,0.19,0.32,0.2,0.74,39,1,0.02,1,0.14,2.5,11,0.2,5,0.04,0.7,61,40.04,0.34,75,0.13,0.12,0.09,0.73,0.1,0.05,739,1.6,5.2,0.68,88,5,99.14
TOR,Toroneos (submarine),Mcr Gbr,Gbr,Microgabbro,TOR3A,Chalkidiki,248,17.74,2,356,9.47,46.1,28,2210,1.1,33,4.05,2.27,1.37,8.88,20,4.72,1.3,2.7,0.82,0.2,1.32,21.4,2.04,0.31,6.18,0.13,3.13,7.4,23.9,86,1,0.22,1,5.75,2.5,55,0.2,5,0.03,0.2,27,50.48,5.03,530,0.57,0.7,4.63,0.99,0.34,1.72,270,0.5,22.2,2.18,57,97,100.6
TOR,Toroneos (submarine),Mcr Gbr,Gbr,Microgabbro,TOR4A,Chalkidiki,853,9.7,2,25,12.14,2.95,59,1820,0.2,71,0.6,0.41,0.14,9.84,7,0.48,1.5,0.6,0.14,0.2,0.09,1.27,1.15,0.07,16.85,0.18,0.33,0.6,1.62,255,1,0.01,1,0.37,2.5,3,0.2,5,0.03,0.2,50,49.38,0.37,65,0.02,0.08,0.25,0.15,0.07,0.12,211,0.5,3.7,0.45,43,22,99.81
TOR,Toroneos (submarine),Mcr Gbr,Gbr,Microgabbro,TOR4E,Chalkidiki,1332,12.98,2,14,13.94,0.73,53,760,0.05,83,0.65,0.45,0.17,10.98,11,0.41,1.5,0.05,0.15,0.2,0.02,0.26,0.36,0.07,12.57,0.18,0.37,0.1,0.61,122,1,0.01,1,0.1,2.5,0.5,0.2,5,0.05,0.2,58,48.38,0.24,55,0.01,0.09,0.03,0.27,0.07,0.02,346,0.5,3.8,0.45,47,5,100
FIL,Filira,Oph Bst,Bst,Ophiolitic Basalt,FIL,Koziakas,25,12.93,2,12,11.94,34.9,47,240,0.05,65,8.19,4.73,1.93,15.19,24,6.89,1.8,4.1,1.66,0.1,0.03,16.3,4.7,0.68,4.47,0.22,3.52,17.7,19.7,37,1,0.29,1,4.57,2.5,0.5,0.2,5,0.26,0.7,33,45.12,5.57,46,1.25,1.29,1.69,2.31,0.7,0.68,396,1.7,44.7,4.51,119,142,100.7
FIL,Filira,Oph Bst,Bst,Ophiolitic Basalt,FIL1,Koziakas,31,14.07,2,111,12.38,24.8,41,730,0.1,63,3.02,1.74,0.88,8.39,14,2.73,1.9,1.3,0.62,0.1,0.52,13.4,3.81,0.26,7.37,0.14,2.96,14.9,11.2,211,1,0.19,1,2.83,2.5,10,0.2,5,0.02,1.1,34,49.76,2.5,200,1.1,0.5,1.52,0.77,0.26,0.39,287,2.4,16.7,1.65,64,45,100.3
FIL,Filira,Oph Bst,Bst,Ophiolitic Basalt,FIL2,Koziakas,25,14.14,2,104,10.48,24.8,46,1630,0.1,72,3.1,1.77,0.89,8.36,13,2.86,1.3,1.4,0.63,0.1,0.51,12.9,4.49,0.28,7.55,0.14,2.76,15.9,11.8,259,1,0.18,1,2.96,2.5,9,0.2,5,0.01,0.8,36,49.43,2.64,195,1.15,0.49,1.63,0.79,0.27,0.49,283,2,16.7,1.81,68,46,98.83
